Trait1,Trait2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
4080.ukbb.sumstats.gz,1220.ukbb.sumstats.gz,0.024,0.026,0.942,0.346,0.049,0.003,1.009,0.009,-0.007,0.006
4080.ukbb.sumstats.gz,1239.ukbb.sumstats.gz,0.017,0.032,0.522,0.602,0.055,0.003,1.013,0.009,-0.044,0.007
4080.ukbb.sumstats.gz,1249.ukbb.sumstats.gz,0.06,0.023,2.624,0.009,0.091,0.004,1.021,0.01,-0.031,0.007
4080.ukbb.sumstats.gz,1259.ukbb.sumstats.gz,0.102,0.048,2.101,0.036,0.01,0.002,1.012,0.007,-0.012,0.006
4080.ukbb.sumstats.gz,1269.ukbb.sumstats.gz,0.159,0.042,3.734,0,0.012,0.002,0.999,0.006,-0.002,0.006
4080.ukbb.sumstats.gz,1279.ukbb.sumstats.gz,0.096,0.03,3.17,0.002,0.032,0.002,1.019,0.008,-0.014,0.006
4080.ukbb.sumstats.gz,134.ukbb.sumstats.gz,-0.061,0.06,-1.032,0.302,0.006,0.002,1.014,0.007,0.036,0.006
4080.ukbb.sumstats.gz,135.ukbb.sumstats.gz,0.417,0.022,18.656,1.13E-77,0.062,0.003,1.027,0.01,0.13,0.008
4080.ukbb.sumstats.gz,136.ukbb.sumstats.gz,-0.036,0.032,-1.138,0.255,0.038,0.002,1.035,0.007,0.019,0.007
4080.ukbb.sumstats.gz,137.ukbb.sumstats.gz,0.439,0.022,19.83,1.65E-87,0.061,0.003,1.032,0.009,0.108,0.009
4080.ukbb.sumstats.gz,1558.ukbb.sumstats.gz,0.103,0.02,5.02,5.16E-07,0.084,0.004,1.044,0.011,-0.032,0.007
4080.ukbb.sumstats.gz,1568.ukbb.sumstats.gz,-0.111,0.031,-3.587,0,0.057,0.003,1.013,0.008,0.002,0.007
4080.ukbb.sumstats.gz,1578.ukbb.sumstats.gz,-0.215,0.035,-6.178,6.50E-10,0.031,0.003,1.041,0.008,-0.021,0.007
4080.ukbb.sumstats.gz,1588.ukbb.sumstats.gz,0.039,0.036,1.087,0.277,0.052,0.003,1.062,0.009,0.022,0.007
4080.ukbb.sumstats.gz,1598.ukbb.sumstats.gz,0.075,0.034,2.217,0.027,0.031,0.003,1.017,0.008,0.032,0.006
4080.ukbb.sumstats.gz,1608.ukbb.sumstats.gz,-0.126,0.056,-2.256,0.024,0.013,0.002,1.017,0.007,0.014,0.006
4080.ukbb.sumstats.gz,1618.ukbb.sumstats.gz,-0.094,0.026,-3.673,0,0.111,0.005,1.059,0.009,-0.017,0.007
4080.ukbb.sumstats.gz,1628.ukbb.sumstats.gz,0.133,0.026,5.06,4.20E-07,0.035,0.002,1.029,0.008,-0.01,0.006
4080.ukbb.sumstats.gz,1677.ukbb.sumstats.gz,-0.126,0.037,-3.389,0.001,0.026,0.002,1.021,0.007,0.025,0.007
4080.ukbb.sumstats.gz,1687.ukbb.sumstats.gz,0.019,0.024,0.816,0.414,0.146,0.009,1.016,0.017,0,0.008
4080.ukbb.sumstats.gz,1697.ukbb.sumstats.gz,-0.076,0.021,-3.605,0,0.244,0.013,1.111,0.035,-0.027,0.01
4080.ukbb.sumstats.gz,1707_2.ukbb.sumstats.gz,-0.024,0.045,-0.536,0.592,0.01,0.002,1.005,0.007,0,0.006
4080.ukbb.sumstats.gz,1707_3.ukbb.sumstats.gz,0.06,0.071,0.851,0.395,0.004,0.001,1.006,0.006,0.015,0.006
4080.ukbb.sumstats.gz,1767.ukbb.sumstats.gz,-0.011,0.07,-0.164,0.87,0.006,0.001,1.002,0.007,-0.004,0.006
4080.ukbb.sumstats.gz,1787.ukbb.sumstats.gz,0.062,0.026,2.387,0.017,0.05,0.003,1.035,0.009,0,0.006
4080.ukbb.sumstats.gz,1797.ukbb.sumstats.gz,-0.229,0.063,-3.622,0,0.006,0.001,1.017,0.007,-0.195,0.007
4080.ukbb.sumstats.gz,1807.ukbb.sumstats.gz,-0.429,0.036,-11.766,5.87E-32,0.034,0.003,1.023,0.008,-0.004,0.008
4080.ukbb.sumstats.gz,1873.ukbb.sumstats.gz,0.08,0.04,1.977,0.048,0.019,0.002,1.029,0.007,-0.028,0.006
4080.ukbb.sumstats.gz,1883.ukbb.sumstats.gz,0.059,0.042,1.415,0.157,0.019,0.002,1.04,0.007,-0.021,0.006
4080.ukbb.sumstats.gz,189.ukbb.sumstats.gz,0.118,0.031,3.853,0,0.034,0.002,1.035,0.007,-0.037,0.006
4080.ukbb.sumstats.gz,1920.ukbb.sumstats.gz,0.008,0.031,0.258,0.797,0.071,0.003,1.017,0.01,-0.047,0.008
4080.ukbb.sumstats.gz,1930.ukbb.sumstats.gz,-0.049,0.034,-1.451,0.147,0.065,0.004,1.018,0.011,-0.054,0.009
4080.ukbb.sumstats.gz,1940.ukbb.sumstats.gz,-0.068,0.034,-1.987,0.047,0.068,0.004,0.994,0.011,-0.035,0.009
4080.ukbb.sumstats.gz,1950.ukbb.sumstats.gz,-0.065,0.031,-2.132,0.033,0.063,0.003,1.02,0.009,-0.017,0.008
4080.ukbb.sumstats.gz,1960.ukbb.sumstats.gz,0.032,0.029,1.073,0.283,0.072,0.003,1.023,0.01,-0.042,0.008
4080.ukbb.sumstats.gz,1970.ukbb.sumstats.gz,0.034,0.037,0.909,0.363,0.067,0.004,1.013,0.012,0.014,0.009
4080.ukbb.sumstats.gz,1980.ukbb.sumstats.gz,0.004,0.036,0.114,0.91,0.08,0.005,1.001,0.013,0.001,0.009
4080.ukbb.sumstats.gz,1990.ukbb.sumstats.gz,0.012,0.035,0.349,0.727,0.057,0.003,0.995,0.01,-0.015,0.008
4080.ukbb.sumstats.gz,20001_1001.ukbb.sumstats.gz,0.382,0.866,0.442,0.659,0,0.001,0.993,0.006,-0.01,0.006
4080.ukbb.sumstats.gz,20001_1002.ukbb.sumstats.gz,0.014,0.043,0.318,0.75,0.01,0.002,1.019,0.008,0.023,0.006
4080.ukbb.sumstats.gz,20001_1019.ukbb.sumstats.gz,0.11,0.179,0.614,0.539,0.001,0.001,0.999,0.007,0.006,0.007
4080.ukbb.sumstats.gz,20001_1044.ukbb.sumstats.gz,0.023,0.054,0.435,0.664,0.006,0.001,1.014,0.007,0.018,0.006
4080.ukbb.sumstats.gz,20001_1059.ukbb.sumstats.gz,-0.056,0.067,-0.847,0.397,0.005,0.002,0.994,0.006,0.013,0.006
4080.ukbb.sumstats.gz,20001_1061.ukbb.sumstats.gz,-0.095,0.047,-1.999,0.046,0.01,0.002,0.998,0.008,0.011,0.006
4080.ukbb.sumstats.gz,20001_1062.ukbb.sumstats.gz,0.062,0.094,0.662,0.508,0.002,0.001,1,0.007,-0.002,0.006
4080.ukbb.sumstats.gz,20002_1065.ukbb.sumstats.gz,0.793,0.013,61.319,0,0.116,0.005,1.055,0.017,0.337,0.013
4080.ukbb.sumstats.gz,20002_1074.ukbb.sumstats.gz,0.388,0.036,10.673,1.36E-26,0.023,0.002,1.022,0.008,0.005,0.007
4080.ukbb.sumstats.gz,20002_1075.ukbb.sumstats.gz,0.325,0.043,7.605,2.84E-14,0.019,0.002,1.011,0.008,-0.014,0.007
4080.ukbb.sumstats.gz,20002_1093.ukbb.sumstats.gz,0.026,0.064,0.408,0.684,0.006,0.002,1.007,0.007,-0.005,0.006
4080.ukbb.sumstats.gz,20002_1094.ukbb.sumstats.gz,-0.005,0.057,-0.091,0.927,0.011,0.002,1.01,0.009,-0.004,0.007
4080.ukbb.sumstats.gz,20002_1111.ukbb.sumstats.gz,0.048,0.028,1.739,0.082,0.061,0.007,1.025,0.016,-0.011,0.008
4080.ukbb.sumstats.gz,20002_1112.ukbb.sumstats.gz,-0.004,0.064,-0.063,0.95,0.006,0.001,0.992,0.007,0.007,0.006
4080.ukbb.sumstats.gz,20002_1113.ukbb.sumstats.gz,0.177,0.059,3.021,0.003,0.01,0.002,0.988,0.007,-0.009,0.006
4080.ukbb.sumstats.gz,20002_1123.ukbb.sumstats.gz,0.111,0.088,1.259,0.208,0.003,0.001,1.004,0.007,0.004,0.006
4080.ukbb.sumstats.gz,20002_1138.ukbb.sumstats.gz,0.116,0.046,2.542,0.011,0.012,0.002,1.013,0.008,0.015,0.006
4080.ukbb.sumstats.gz,20002_1162.ukbb.sumstats.gz,0.11,0.055,1.998,0.046,0.008,0.002,1.021,0.008,0.009,0.006
4080.ukbb.sumstats.gz,20002_1197.ukbb.sumstats.gz,-0.006,0.058,-0.097,0.923,0.009,0.002,1.003,0.008,0.008,0.007
4080.ukbb.sumstats.gz,20002_1201.ukbb.sumstats.gz,-0.031,0.1,-0.315,0.753,0.002,0.001,1.002,0.007,-0.003,0.006
4080.ukbb.sumstats.gz,20002_1220.ukbb.sumstats.gz,0.293,0.027,10.927,8.54E-28,0.036,0.003,1.039,0.01,0.029,0.006
4080.ukbb.sumstats.gz,20002_1223.ukbb.sumstats.gz,0.299,0.064,4.681,2.86E-06,0.006,0.001,1.012,0.007,0.008,0.006
4080.ukbb.sumstats.gz,20002_1225.ukbb.sumstats.gz,-0.01,0.038,-0.267,0.789,0.014,0.008,0.997,0.013,0.005,0.006
4080.ukbb.sumstats.gz,20002_1226.ukbb.sumstats.gz,0.01,0.038,0.266,0.79,0.055,0.008,1.032,0.015,0.014,0.008
4080.ukbb.sumstats.gz,20002_1265.ukbb.sumstats.gz,-0.105,0.046,-2.253,0.024,0.016,0.002,1.013,0.007,-0.029,0.007
4080.ukbb.sumstats.gz,20002_1277.ukbb.sumstats.gz,0.108,0.044,2.431,0.015,0.011,0.002,1.014,0.008,0.005,0.005
4080.ukbb.sumstats.gz,20002_1281.ukbb.sumstats.gz,0.11,0.089,1.238,0.216,0.004,0.001,1.003,0.007,-0.005,0.006
4080.ukbb.sumstats.gz,20002_1286.ukbb.sumstats.gz,-0.056,0.038,-1.5,0.134,0.019,0.002,0.999,0.007,-0.037,0.006
4080.ukbb.sumstats.gz,20002_1287.ukbb.sumstats.gz,-0.019,0.06,-0.312,0.755,0.006,0.001,0.999,0.006,-0.013,0.007
4080.ukbb.sumstats.gz,20002_1291.ukbb.sumstats.gz,-0.134,0.067,-1.998,0.046,0.006,0.001,1,0.006,-0.009,0.006
4080.ukbb.sumstats.gz,20002_1293.ukbb.sumstats.gz,-0.131,0.106,-1.243,0.214,0.002,0.001,1.004,0.006,-0.003,0.006
4080.ukbb.sumstats.gz,20002_1294.ukbb.sumstats.gz,-0.031,0.069,-0.451,0.652,0.005,0.001,1.006,0.006,-0.002,0.006
4080.ukbb.sumstats.gz,20002_1295.ukbb.sumstats.gz,-0.037,0.089,-0.415,0.678,0.002,0.001,0.993,0.006,0.007,0.006
4080.ukbb.sumstats.gz,20002_1309.ukbb.sumstats.gz,-0.091,0.048,-1.901,0.057,0.015,0.002,1.001,0.008,0.008,0.006
4080.ukbb.sumstats.gz,20002_1313.ukbb.sumstats.gz,-0.074,0.239,-0.307,0.759,0.001,0.002,1.028,0.026,0.002,0.006
4080.ukbb.sumstats.gz,20002_1330.ukbb.sumstats.gz,0.074,0.067,1.092,0.275,0.005,0.001,0.99,0.006,-0.017,0.005
4080.ukbb.sumstats.gz,20002_1331.ukbb.sumstats.gz,0.123,0.087,1.408,0.159,0.004,0.001,0.992,0.006,-0.012,0.006
4080.ukbb.sumstats.gz,20002_1351.ukbb.sumstats.gz,0.026,0.053,0.49,0.624,0.007,0.001,1.008,0.006,0.033,0.006
4080.ukbb.sumstats.gz,20002_1353.ukbb.sumstats.gz,-0.152,0.069,-2.196,0.028,0.005,0.001,1.006,0.007,0.017,0.006
4080.ukbb.sumstats.gz,20002_1386.ukbb.sumstats.gz,0.111,0.164,0.674,0.5,0.001,0.001,1.007,0.006,-0.004,0.006
4080.ukbb.sumstats.gz,20002_1387.ukbb.sumstats.gz,-0.043,0.036,-1.194,0.232,0.024,0.003,1.018,0.009,-0.032,0.006
4080.ukbb.sumstats.gz,20002_1396.ukbb.sumstats.gz,0.031,0.056,0.56,0.576,0.007,0.002,1,0.007,-0.014,0.005
4080.ukbb.sumstats.gz,20002_1406.ukbb.sumstats.gz,0.054,0.113,0.477,0.633,0.002,0.001,1,0.007,-0.018,0.006
4080.ukbb.sumstats.gz,20002_1417.ukbb.sumstats.gz,-0.006,0.059,-0.094,0.925,0.005,0.002,1.007,0.006,0.005,0.006
4080.ukbb.sumstats.gz,20002_1430.ukbb.sumstats.gz,0.147,0.157,0.938,0.348,0.001,0.001,0.991,0.006,-0.011,0.006
4080.ukbb.sumstats.gz,20002_1452.ukbb.sumstats.gz,-0.025,0.047,-0.539,0.59,0.009,0.002,1.016,0.007,-0.014,0.006
4080.ukbb.sumstats.gz,20002_1453.ukbb.sumstats.gz,-0.067,0.067,-1.009,0.313,0.019,0.012,1.011,0.009,0.023,0.006
4080.ukbb.sumstats.gz,20002_1456.ukbb.sumstats.gz,0.019,0.044,0.426,0.67,0.045,0.04,0.955,0.06,-0.01,0.006
4080.ukbb.sumstats.gz,20002_1458.ukbb.sumstats.gz,0.014,0.04,0.347,0.728,0.013,0.002,0.995,0.007,0.027,0.006
4080.ukbb.sumstats.gz,20002_1462.ukbb.sumstats.gz,0.05,0.061,0.828,0.408,0.006,0.001,1.005,0.007,-0.004,0.006
4080.ukbb.sumstats.gz,20002_1463.ukbb.sumstats.gz,0.012,0.053,0.226,0.821,0.006,0.002,1.011,0.008,0,0.006
4080.ukbb.sumstats.gz,20002_1464.ukbb.sumstats.gz,0.011,0.063,0.175,0.861,0.006,0.002,1.008,0.008,0.021,0.006
4080.ukbb.sumstats.gz,20002_1465.ukbb.sumstats.gz,0.052,0.038,1.384,0.166,0.019,0.002,1.028,0.008,0.056,0.006
4080.ukbb.sumstats.gz,20002_1466.ukbb.sumstats.gz,0.159,0.038,4.129,3.64E-05,0.025,0.007,0.991,0.019,0.034,0.006
4080.ukbb.sumstats.gz,20002_1473.ukbb.sumstats.gz,0.422,0.034,12.278,1.19E-34,0.041,0.005,1.056,0.027,0.094,0.008
4080.ukbb.sumstats.gz,20002_1474.ukbb.sumstats.gz,0.043,0.051,0.846,0.398,0.009,0.002,1.031,0.007,0.02,0.006
4080.ukbb.sumstats.gz,20002_1494.ukbb.sumstats.gz,-0.011,0.07,-0.164,0.87,0.004,0.001,1.011,0.006,-0.004,0.006
4080.ukbb.sumstats.gz,20002_1497.ukbb.sumstats.gz,-0.17,0.096,-1.764,0.078,0.003,0.001,0.989,0.007,-0.004,0.006
4080.ukbb.sumstats.gz,20002_1526.ukbb.sumstats.gz,-0.16,0.094,-1.698,0.09,0.003,0.001,0.993,0.006,0.012,0.006
4080.ukbb.sumstats.gz,20002_1538.ukbb.sumstats.gz,0.06,0.114,0.53,0.596,0.002,0.001,1.015,0.007,0.014,0.006
4080.ukbb.sumstats.gz,20002_1588.ukbb.sumstats.gz,0.162,0.139,1.165,0.244,0.002,0.001,1.001,0.006,-0.004,0.006
4080.ukbb.sumstats.gz,20002_1661.ukbb.sumstats.gz,0.124,0.117,1.062,0.288,0.002,0.001,0.994,0.007,-0.014,0.006
4080.ukbb.sumstats.gz,20003_1140860696.ukbb.sumstats.gz,0.816,0.05,16.193,5.68E-59,0.014,0.002,1.022,0.008,0.066,0.008
4080.ukbb.sumstats.gz,20003_1140860806.ukbb.sumstats.gz,0.748,0.044,17.023,5.52E-65,0.017,0.002,1.018,0.007,0.058,0.008
4080.ukbb.sumstats.gz,20003_1140860954.ukbb.sumstats.gz,0.271,0.081,3.345,0.001,0.004,0.001,0.996,0.007,-0.009,0.006
4080.ukbb.sumstats.gz,20003_1140861008.ukbb.sumstats.gz,0.142,0.105,1.348,0.178,0.003,0.001,0.991,0.006,0,0.007
4080.ukbb.sumstats.gz,20003_1140861832.ukbb.sumstats.gz,0.197,0.272,0.723,0.47,0.001,0.001,1,0.006,-0.012,0.006
4080.ukbb.sumstats.gz,20003_1140861958.ukbb.sumstats.gz,0.55,0.034,16.209,4.39E-59,0.028,0.003,1.025,0.013,0.083,0.008
4080.ukbb.sumstats.gz,20003_1140861998.ukbb.sumstats.gz,0.02,0.039,0.516,0.606,0.019,0.003,1.006,0.009,0.001,0.006
4080.ukbb.sumstats.gz,20003_1140862236.ukbb.sumstats.gz,-0.025,0.103,-0.24,0.811,0.002,0.001,0.997,0.005,0.009,0.005
4080.ukbb.sumstats.gz,20003_1140862382.ukbb.sumstats.gz,-0.051,0.081,-0.628,0.53,0.004,0.001,1,0.007,-0.004,0.007
4080.ukbb.sumstats.gz,20003_1140864070.ukbb.sumstats.gz,0.175,0.082,2.14,0.032,0.003,0.001,0.987,0.006,-0.002,0.006
4080.ukbb.sumstats.gz,20003_1140864752.ukbb.sumstats.gz,0.221,0.041,5.372,7.80E-08,0.013,0.002,1.013,0.007,0.019,0.006
4080.ukbb.sumstats.gz,20003_1140864952.ukbb.sumstats.gz,0.392,0.122,3.201,0.001,0.002,0.001,0.992,0.006,0.008,0.006
4080.ukbb.sumstats.gz,20003_1140864992.ukbb.sumstats.gz,0.213,0.053,4.035,5.47E-05,0.009,0.001,1.006,0.007,0.004,0.007
4080.ukbb.sumstats.gz,20003_1140865634.ukbb.sumstats.gz,0.09,0.041,2.227,0.026,0.015,0.002,1.029,0.007,0.038,0.006
4080.ukbb.sumstats.gz,20003_1140865716.ukbb.sumstats.gz,0.079,0.123,0.645,0.519,0.002,0.001,1.009,0.006,-0.005,0.006
4080.ukbb.sumstats.gz,20003_1140866738.ukbb.sumstats.gz,0.793,0.041,19.353,1.91E-83,0.017,0.002,1.022,0.008,0.068,0.008
4080.ukbb.sumstats.gz,20003_1140868226.ukbb.sumstats.gz,0.527,0.038,13.792,2.84E-43,0.02,0.002,1.02,0.007,0.064,0.007
4080.ukbb.sumstats.gz,20003_1140869176.ukbb.sumstats.gz,-0.06,0.081,-0.748,0.454,0.003,0.001,0.989,0.007,0.002,0.006
4080.ukbb.sumstats.gz,20003_1140870504.ukbb.sumstats.gz,0.116,0.139,0.83,0.407,0.001,0.001,0.995,0.007,-0.002,0.005
4080.ukbb.sumstats.gz,20003_1140870570.ukbb.sumstats.gz,-0.078,0.094,-0.832,0.405,0.003,0.001,0.995,0.006,0.006,0.006
4080.ukbb.sumstats.gz,20003_1140871310.ukbb.sumstats.gz,-0.111,0.04,-2.756,0.006,0.017,0.002,1.005,0.007,-0.033,0.006
4080.ukbb.sumstats.gz,20003_1140871692.ukbb.sumstats.gz,0.194,0.186,1.048,0.295,0.001,0.001,0.999,0.007,-1.65E-05,0.006
4080.ukbb.sumstats.gz,20003_1140874420.ukbb.sumstats.gz,0.193,0.071,2.72,0.007,0.007,0.002,1.004,0.007,0.01,0.007
4080.ukbb.sumstats.gz,20003_1140874744.ukbb.sumstats.gz,0.354,0.047,7.531,5.03E-14,0.01,0.001,1.018,0.008,0.003,0.006
4080.ukbb.sumstats.gz,20003_1140874866.ukbb.sumstats.gz,-0.041,0.108,-0.378,0.705,0.002,0.002,0.999,0.006,0.005,0.006
4080.ukbb.sumstats.gz,20003_1140874930.ukbb.sumstats.gz,0.18,0.073,2.461,0.014,0.004,0.001,0.998,0.006,0.003,0.006
4080.ukbb.sumstats.gz,20003_1140875408.ukbb.sumstats.gz,0.158,0.039,4.055,5.02E-05,0.023,0.005,0.99,0.015,0.03,0.006
4080.ukbb.sumstats.gz,20003_1140876136.ukbb.sumstats.gz,-0.197,0.114,-1.731,0.083,0.002,0.001,1.008,0.007,0.008,0.006
4080.ukbb.sumstats.gz,20003_1140876146.ukbb.sumstats.gz,0.089,0.082,1.079,0.281,0.003,0.001,0.984,0.006,-0.005,0.006
4080.ukbb.sumstats.gz,20003_1140879406.ukbb.sumstats.gz,0.223,0.075,2.987,0.003,0.006,0.001,0.996,0.006,0.006,0.006
4080.ukbb.sumstats.gz,20003_1140879616.ukbb.sumstats.gz,0.093,0.05,1.869,0.062,0.008,0.002,1.011,0.008,0.003,0.005
4080.ukbb.sumstats.gz,20003_1140879628.ukbb.sumstats.gz,-0.134,0.134,-1.005,0.315,0.001,0.001,1,0.006,0.007,0.006
4080.ukbb.sumstats.gz,20003_1140879760.ukbb.sumstats.gz,0.504,0.074,6.773,1.26E-11,0.006,0.001,0.998,0.007,-0.01,0.006
4080.ukbb.sumstats.gz,20003_1140879778.ukbb.sumstats.gz,0.821,0.079,10.408,2.27E-25,0.008,0.002,1.009,0.007,0.051,0.007
4080.ukbb.sumstats.gz,20003_1140879802.ukbb.sumstats.gz,0.774,0.032,24.42,1.04E-131,0.022,0.002,1.012,0.007,0.106,0.008
4080.ukbb.sumstats.gz,20003_1140881856.ukbb.sumstats.gz,0.196,0.063,3.121,0.002,0.007,0.002,1,0.007,0.009,0.006
4080.ukbb.sumstats.gz,20003_1140882800.ukbb.sumstats.gz,-0.14,0.133,-1.047,0.295,0.001,0.001,0.996,0.007,0.003,0.006
4080.ukbb.sumstats.gz,20003_1140883066.ukbb.sumstats.gz,0.187,0.062,2.988,0.003,0.013,0.005,1.013,0.007,0.003,0.007
4080.ukbb.sumstats.gz,20003_1140883504.ukbb.sumstats.gz,0.034,0.048,0.708,0.479,0.006,0.001,0.999,0.007,0.004,0.005
4080.ukbb.sumstats.gz,20003_1140884444.ukbb.sumstats.gz,0.098,0.058,1.7,0.089,0.005,0.002,0.999,0.007,0.02,0.006
4080.ukbb.sumstats.gz,20003_1140884488.ukbb.sumstats.gz,0.006,0.065,0.095,0.924,0.008,0.001,0.995,0.007,0.026,0.007
4080.ukbb.sumstats.gz,20003_1140884512.ukbb.sumstats.gz,0.1,0.186,0.537,0.592,0.001,0.001,0.995,0.006,-0.006,0.006
4080.ukbb.sumstats.gz,20003_1140884516.ukbb.sumstats.gz,-0.121,0.059,-2.057,0.04,0.011,0.003,0.998,0.009,0.002,0.007
4080.ukbb.sumstats.gz,20003_1140884600.ukbb.sumstats.gz,0.289,0.031,9.413,4.83E-21,0.03,0.002,1.029,0.009,0.015,0.006
4080.ukbb.sumstats.gz,20003_1140888266.ukbb.sumstats.gz,0.126,0.074,1.711,0.087,0.005,0.001,1.001,0.007,-0.017,0.006
4080.ukbb.sumstats.gz,20003_1140888552.ukbb.sumstats.gz,0.703,0.086,8.174,3.00E-16,0.006,0.001,1.004,0.007,0.034,0.007
4080.ukbb.sumstats.gz,20003_1140888560.ukbb.sumstats.gz,0.655,0.083,7.909,2.59E-15,0.007,0.002,1.008,0.006,0.052,0.006
4080.ukbb.sumstats.gz,20003_1140888570.ukbb.sumstats.gz,0.022,0.073,0.302,0.763,0.003,0.001,0.989,0.006,-0.002,0.005
4080.ukbb.sumstats.gz,20003_1140909708.ukbb.sumstats.gz,0.598,0.141,4.243,2.20E-05,0.003,0.001,1.015,0.006,0.001,0.006
4080.ukbb.sumstats.gz,20003_1140910766.ukbb.sumstats.gz,0.339,0.093,3.664,0,0.004,0.001,1.011,0.007,-0.006,0.006
4080.ukbb.sumstats.gz,20003_1140911730.ukbb.sumstats.gz,-0.114,0.069,-1.666,0.096,0.004,0.001,0.988,0.006,0.002,0.005
4080.ukbb.sumstats.gz,20003_1140916282.ukbb.sumstats.gz,-0.076,0.071,-1.066,0.286,0.003,0.001,0.994,0.006,-0.012,0.006
4080.ukbb.sumstats.gz,20003_1140916356.ukbb.sumstats.gz,0.564,0.056,10.043,9.88E-24,0.009,0.002,0.986,0.008,0.045,0.008
4080.ukbb.sumstats.gz,20003_1140916682.ukbb.sumstats.gz,0.164,0.097,1.686,0.092,0.002,0.001,0.998,0.007,-0.007,0.005
4080.ukbb.sumstats.gz,20003_1140921600.ukbb.sumstats.gz,-0.061,0.066,-0.921,0.357,0.007,0.002,0.997,0.007,-0.029,0.006
4080.ukbb.sumstats.gz,20003_1140922174.ukbb.sumstats.gz,-0.104,0.058,-1.81,0.07,0.01,0.002,0.987,0.007,0.012,0.007
4080.ukbb.sumstats.gz,20003_1140923346.ukbb.sumstats.gz,0.156,0.049,3.202,0.001,0.011,0.001,1.014,0.007,0.018,0.006
4080.ukbb.sumstats.gz,20003_1140923402.ukbb.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4080.ukbb.sumstats.gz,20003_1141145896.ukbb.sumstats.gz,0.091,0.104,0.875,0.381,0.002,0.001,0.992,0.006,-0.004,0.005
4080.ukbb.sumstats.gz,20003_1141146198.ukbb.sumstats.gz,0.158,0.053,2.968,0.003,0.007,0.001,0.996,0.007,-0.007,0.005
4080.ukbb.sumstats.gz,20003_1141146234.ukbb.sumstats.gz,0.395,0.053,7.485,7.15E-14,0.013,0.002,1.026,0.009,0.034,0.006
4080.ukbb.sumstats.gz,20003_1141156836.ukbb.sumstats.gz,0.771,0.082,9.371,7.22E-21,0.007,0.001,0.998,0.006,0.042,0.006
4080.ukbb.sumstats.gz,20003_1141157264.ukbb.sumstats.gz,0.077,0.083,0.927,0.354,0.004,0.001,0.997,0.006,-0.001,0.006
4080.ukbb.sumstats.gz,20003_1141164828.ukbb.sumstats.gz,-0.06,0.072,-0.84,0.401,0.005,0.001,0.994,0.007,0.021,0.006
4080.ukbb.sumstats.gz,20003_1141168318.ukbb.sumstats.gz,0.276,0.095,2.916,0.004,0.004,0.001,1.006,0.007,0.007,0.006
4080.ukbb.sumstats.gz,20003_1141172436.ukbb.sumstats.gz,0.005,0.105,0.048,0.962,0.002,0.001,1,0.006,0.001,0.006
4080.ukbb.sumstats.gz,20003_1141174520.ukbb.sumstats.gz,0.191,0.083,2.296,0.022,0.004,0.001,1.004,0.006,-0.006,0.006
4080.ukbb.sumstats.gz,20003_1141176832.ukbb.sumstats.gz,0.083,0.043,1.911,0.056,0.012,0.002,0.992,0.007,0.007,0.007
