Trait1,Trait2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
cad.add.160614.website.txt.tab.sumstats.gz,1279.ukbb.sumstats.gz,0.213,0.041,5.208,1.91E-07,0.032,0.002,1.02,0.008,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,134.ukbb.sumstats.gz,-0.102,0.079,-1.289,0.197,0.006,0.001,1.014,0.007,0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,135.ukbb.sumstats.gz,0.448,0.031,14.405,4.80E-47,0.061,0.003,1.026,0.01,0.005,0.006
cad.add.160614.website.txt.tab.sumstats.gz,136.ukbb.sumstats.gz,0.187,0.035,5.339,9.34E-08,0.038,0.002,1.035,0.008,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,137.ukbb.sumstats.gz,0.495,0.03,16.424,1.28E-60,0.061,0.003,1.032,0.009,0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1558.ukbb.sumstats.gz,0.189,0.032,5.924,3.14E-09,0.083,0.004,1.046,0.011,0.008,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1568.ukbb.sumstats.gz,-0.19,0.037,-5.13,2.90E-07,0.057,0.003,1.012,0.008,-0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1578.ukbb.sumstats.gz,-0.225,0.046,-4.914,8.91E-07,0.03,0.003,1.041,0.008,-0.011,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1588.ukbb.sumstats.gz,0.052,0.038,1.347,0.178,0.052,0.003,1.061,0.009,0.015,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1598.ukbb.sumstats.gz,0.148,0.043,3.48,0.001,0.031,0.003,1.017,0.008,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1608.ukbb.sumstats.gz,-0.316,0.065,-4.893,9.93E-07,0.013,0.002,1.018,0.007,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1618.ukbb.sumstats.gz,-0.18,0.035,-5.107,3.28E-07,0.111,0.005,1.058,0.009,-0.013,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1628.ukbb.sumstats.gz,0.208,0.036,5.812,6.16E-09,0.035,0.002,1.029,0.008,0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1677.ukbb.sumstats.gz,-0.191,0.047,-4.081,4.48E-05,0.026,0.002,1.021,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1687.ukbb.sumstats.gz,0.106,0.025,4.223,2.42E-05,0.146,0.009,1.016,0.017,0.003,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1697.ukbb.sumstats.gz,-0.093,0.025,-3.653,0,0.242,0.012,1.112,0.034,-0.007,0.007
cad.add.160614.website.txt.tab.sumstats.gz,1707_2.ukbb.sumstats.gz,-0.084,0.063,-1.331,0.183,0.01,0.002,1.005,0.007,0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1707_3.ukbb.sumstats.gz,0.073,0.085,0.854,0.393,0.004,0.001,1.006,0.007,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1767.ukbb.sumstats.gz,0.178,0.066,2.694,0.007,0.006,0.001,1.001,0.007,0.005,0.004
cad.add.160614.website.txt.tab.sumstats.gz,1787.ukbb.sumstats.gz,0.273,0.034,8.057,7.79E-16,0.05,0.003,1.035,0.009,0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1797.ukbb.sumstats.gz,-0.268,0.08,-3.351,0.001,0.006,0.001,1.016,0.007,-0.013,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1807.ukbb.sumstats.gz,-0.648,0.04,-16.19,5.91E-59,0.034,0.003,1.023,0.008,-0.009,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1873.ukbb.sumstats.gz,0.18,0.045,4.024,5.71E-05,0.019,0.002,1.028,0.007,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1883.ukbb.sumstats.gz,0.244,0.049,4.96,7.05E-07,0.019,0.002,1.039,0.007,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,189.ukbb.sumstats.gz,0.19,0.039,4.841,1.30E-06,0.034,0.002,1.035,0.007,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1920.ukbb.sumstats.gz,0.166,0.029,5.743,9.33E-09,0.071,0.003,1.016,0.01,0.006,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1930.ukbb.sumstats.gz,0.11,0.034,3.254,0.001,0.064,0.004,1.018,0.011,0.005,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1940.ukbb.sumstats.gz,0.063,0.034,1.83,0.067,0.068,0.004,0.992,0.011,0.001,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1950.ukbb.sumstats.gz,0.098,0.031,3.14,0.002,0.063,0.003,1.018,0.009,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1960.ukbb.sumstats.gz,0.167,0.029,5.753,8.78E-09,0.072,0.003,1.025,0.01,0.009,0.005
cad.add.160614.website.txt.tab.sumstats.gz,1970.ukbb.sumstats.gz,-0.022,0.032,-0.701,0.483,0.066,0.004,1.013,0.012,-0.001,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1980.ukbb.sumstats.gz,0.008,0.029,0.261,0.794,0.079,0.005,1.002,0.012,6.40E-05,0.006
cad.add.160614.website.txt.tab.sumstats.gz,1990.ukbb.sumstats.gz,0.034,0.03,1.132,0.258,0.057,0.003,0.994,0.01,0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20001_1001.ukbb.sumstats.gz,0.17,0.37,0.458,0.647,0,0.001,0.992,0.007,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20001_1002.ukbb.sumstats.gz,-0.042,0.059,-0.713,0.476,0.01,0.002,1.018,0.008,0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20001_1019.ukbb.sumstats.gz,-0.011,0.174,-0.061,0.951,0.001,0.001,0.999,0.007,0,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20001_1044.ukbb.sumstats.gz,0.071,0.083,0.852,0.394,0.006,0.001,1.014,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20001_1059.ukbb.sumstats.gz,-0.186,0.089,-2.091,0.037,0.005,0.002,0.994,0.006,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20001_1061.ukbb.sumstats.gz,-0.052,0.06,-0.877,0.381,0.01,0.002,0.997,0.008,-0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20001_1062.ukbb.sumstats.gz,-0.009,0.119,-0.075,0.94,0.002,0.001,1,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1065.ukbb.sumstats.gz,0.436,0.028,15.576,1.07E-54,0.115,0.005,1.054,0.017,0.013,0.007
cad.add.160614.website.txt.tab.sumstats.gz,20002_1074.ukbb.sumstats.gz,0.852,0.045,18.727,2.96E-78,0.023,0.002,1.022,0.008,0.017,0.006
cad.add.160614.website.txt.tab.sumstats.gz,20002_1075.ukbb.sumstats.gz,0.952,0.051,18.753,1.82E-78,0.019,0.002,1.01,0.008,0.011,0.006
cad.add.160614.website.txt.tab.sumstats.gz,20002_1093.ukbb.sumstats.gz,0.488,0.088,5.512,3.55E-08,0.006,0.002,1.008,0.008,-0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1094.ukbb.sumstats.gz,0.273,0.06,4.533,5.81E-06,0.011,0.002,1.009,0.009,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1111.ukbb.sumstats.gz,0.017,0.033,0.527,0.598,0.058,0.006,1.025,0.015,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1112.ukbb.sumstats.gz,0.182,0.069,2.628,0.009,0.006,0.002,0.993,0.007,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1113.ukbb.sumstats.gz,0.281,0.057,4.945,7.62E-07,0.01,0.002,0.988,0.007,-0.006,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1123.ukbb.sumstats.gz,0.236,0.1,2.371,0.018,0.003,0.001,1.003,0.007,-0.001,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1138.ukbb.sumstats.gz,0.312,0.061,5.153,2.56E-07,0.011,0.002,1.014,0.007,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1162.ukbb.sumstats.gz,0.231,0.068,3.398,0.001,0.008,0.002,1.022,0.008,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1197.ukbb.sumstats.gz,0.195,0.066,2.958,0.003,0.009,0.002,1.002,0.008,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1201.ukbb.sumstats.gz,0.217,0.152,1.427,0.154,0.002,0.001,1.003,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1220.ukbb.sumstats.gz,0.401,0.039,10.21,1.79E-24,0.036,0.003,1.039,0.01,0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1223.ukbb.sumstats.gz,0.406,0.078,5.193,2.07E-07,0.006,0.001,1.011,0.006,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1225.ukbb.sumstats.gz,0,0.063,-0.006,0.995,0.009,0.003,1.007,0.008,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1226.ukbb.sumstats.gz,0.144,0.039,3.659,0,0.051,0.006,1.032,0.015,0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1265.ukbb.sumstats.gz,-0.038,0.058,-0.657,0.511,0.016,0.002,1.013,0.008,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1277.ukbb.sumstats.gz,-0.025,0.062,-0.404,0.686,0.011,0.002,1.015,0.008,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1281.ukbb.sumstats.gz,-0.139,0.106,-1.32,0.187,0.003,0.001,1.004,0.007,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1286.ukbb.sumstats.gz,0.122,0.05,2.452,0.014,0.018,0.002,1.001,0.007,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1287.ukbb.sumstats.gz,-0.015,0.071,-0.217,0.828,0.006,0.001,1,0.006,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1291.ukbb.sumstats.gz,-0.158,0.083,-1.912,0.056,0.006,0.001,0.999,0.006,0.006,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1293.ukbb.sumstats.gz,0.003,0.131,0.023,0.981,0.002,0.001,1.004,0.006,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1294.ukbb.sumstats.gz,-0.057,0.074,-0.775,0.439,0.005,0.001,1.005,0.006,0.004,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1295.ukbb.sumstats.gz,0.006,0.126,0.046,0.963,0.002,0.001,0.992,0.006,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1309.ukbb.sumstats.gz,-0.075,0.048,-1.566,0.117,0.015,0.002,1,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1313.ukbb.sumstats.gz,-0.144,0.133,-1.083,0.279,0.002,0.001,1.003,0.006,0.009,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1330.ukbb.sumstats.gz,-0.068,0.096,-0.706,0.48,0.004,0.001,0.991,0.006,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1331.ukbb.sumstats.gz,0.319,0.113,2.83,0.005,0.003,0.001,0.992,0.006,-0.013,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1351.ukbb.sumstats.gz,0.045,0.072,0.622,0.534,0.007,0.001,1.008,0.007,0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1353.ukbb.sumstats.gz,-0.058,0.084,-0.69,0.49,0.005,0.002,1.005,0.007,0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1386.ukbb.sumstats.gz,0.268,0.275,0.976,0.329,0.001,0.001,1.008,0.006,-0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1387.ukbb.sumstats.gz,-0.067,0.039,-1.713,0.087,0.023,0.002,1.017,0.009,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1396.ukbb.sumstats.gz,0.059,0.07,0.845,0.398,0.006,0.001,1.005,0.007,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1406.ukbb.sumstats.gz,0.287,0.147,1.944,0.052,0.002,0.001,1,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1417.ukbb.sumstats.gz,0.006,0.086,0.073,0.942,0.005,0.002,1.006,0.006,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1430.ukbb.sumstats.gz,0.132,0.162,0.813,0.416,0.001,0.001,0.991,0.006,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1452.ukbb.sumstats.gz,-0.114,0.063,-1.81,0.07,0.008,0.002,1.014,0.007,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1453.ukbb.sumstats.gz,0.113,0.072,1.564,0.118,0.007,0.002,1.017,0.008,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1456.ukbb.sumstats.gz,-0.006,0.048,-0.133,0.894,0.017,0.012,0.996,0.021,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1458.ukbb.sumstats.gz,0.029,0.053,0.555,0.579,0.013,0.002,0.995,0.007,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1462.ukbb.sumstats.gz,0.066,0.074,0.896,0.37,0.005,0.001,1.005,0.007,0.001,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1463.ukbb.sumstats.gz,-0.14,0.073,-1.915,0.056,0.006,0.002,1.011,0.008,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1464.ukbb.sumstats.gz,0.226,0.088,2.579,0.01,0.005,0.001,1.004,0.006,0,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1465.ukbb.sumstats.gz,0.195,0.055,3.57,0,0.019,0.002,1.028,0.008,-0.001,0.006
cad.add.160614.website.txt.tab.sumstats.gz,20002_1466.ukbb.sumstats.gz,0.133,0.044,3.041,0.002,0.025,0.007,0.992,0.019,4.46E-05,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1473.ukbb.sumstats.gz,0.572,0.039,14.565,4.71E-48,0.04,0.005,1.056,0.028,0.016,0.008
cad.add.160614.website.txt.tab.sumstats.gz,20002_1474.ukbb.sumstats.gz,0.189,0.06,3.125,0.002,0.008,0.001,1.032,0.007,0,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1494.ukbb.sumstats.gz,-0.212,0.103,-2.056,0.04,0.004,0.001,1.011,0.007,0.011,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1497.ukbb.sumstats.gz,-0.046,0.102,-0.453,0.65,0.003,0.001,0.988,0.007,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1526.ukbb.sumstats.gz,-0.046,0.103,-0.442,0.658,0.003,0.001,0.993,0.007,-0.002,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1538.ukbb.sumstats.gz,0.163,0.148,1.101,0.271,0.002,0.001,1.015,0.006,0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20002_1588.ukbb.sumstats.gz,0.064,0.137,0.463,0.644,0.002,0.001,1.002,0.007,-0.004,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20002_1661.ukbb.sumstats.gz,0.046,0.128,0.361,0.718,0.002,0.001,0.993,0.007,-0.004,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140860696.ukbb.sumstats.gz,0.46,0.056,8.174,2.98E-16,0.014,0.002,1.022,0.007,0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140860806.ukbb.sumstats.gz,0.696,0.053,13.165,1.39E-39,0.017,0.002,1.017,0.007,0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140860954.ukbb.sumstats.gz,0.544,0.123,4.412,1.02E-05,0.004,0.001,0.995,0.007,0.013,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140861008.ukbb.sumstats.gz,0.309,0.143,2.162,0.031,0.003,0.001,0.991,0.006,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140861832.ukbb.sumstats.gz,-0.459,0.905,-0.507,0.612,0,0.001,1.002,0.006,0.006,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140861958.ukbb.sumstats.gz,0.667,0.04,16.652,2.92E-62,0.028,0.003,1.025,0.013,0.014,0.007
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140861998.ukbb.sumstats.gz,0.117,0.049,2.368,0.018,0.018,0.002,1.008,0.008,-0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140862236.ukbb.sumstats.gz,0.221,0.169,1.306,0.191,0.001,0.001,0.998,0.006,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140862382.ukbb.sumstats.gz,-0.032,0.086,-0.374,0.708,0.004,0.001,0.999,0.007,0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140864070.ukbb.sumstats.gz,0.198,0.098,2.025,0.043,0.003,0.001,0.986,0.006,-0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140864752.ukbb.sumstats.gz,0.399,0.057,6.983,2.90E-12,0.013,0.002,1.013,0.008,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140864952.ukbb.sumstats.gz,0.202,0.119,1.697,0.09,0.003,0.001,0.991,0.006,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140864992.ukbb.sumstats.gz,0.273,0.067,4.109,3.98E-05,0.009,0.001,1.006,0.007,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140865634.ukbb.sumstats.gz,0.435,0.055,7.923,2.32E-15,0.015,0.002,1.029,0.007,-0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140865716.ukbb.sumstats.gz,0.259,0.182,1.425,0.154,0.002,0.001,1.009,0.006,-0.001,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140866738.ukbb.sumstats.gz,0.626,0.055,11.435,2.79E-30,0.017,0.002,1.021,0.008,0.016,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140868226.ukbb.sumstats.gz,0.815,0.046,17.595,2.71E-69,0.02,0.002,1.019,0.007,0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140869176.ukbb.sumstats.gz,-0.015,0.113,-0.136,0.892,0.003,0.001,0.989,0.007,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140870504.ukbb.sumstats.gz,-0.01,0.165,-0.063,0.95,0.001,0.001,0.996,0.007,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140870570.ukbb.sumstats.gz,0.079,0.107,0.737,0.461,0.003,0.001,0.995,0.006,0.001,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140871310.ukbb.sumstats.gz,0.091,0.051,1.783,0.075,0.016,0.002,1.007,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140871692.ukbb.sumstats.gz,0.399,0.321,1.245,0.213,0.001,0.001,1,0.007,-0.008,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140874420.ukbb.sumstats.gz,0.294,0.078,3.77,0,0.007,0.001,1.004,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140874744.ukbb.sumstats.gz,0.348,0.063,5.542,2.98E-08,0.01,0.001,1.018,0.008,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140874866.ukbb.sumstats.gz,-0.06,0.138,-0.435,0.663,0.002,0.001,1,0.006,-0.003,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140874930.ukbb.sumstats.gz,0.14,0.104,1.341,0.18,0.003,0.001,0.998,0.006,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140875408.ukbb.sumstats.gz,0.189,0.048,3.974,7.06E-05,0.023,0.005,0.989,0.015,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140876136.ukbb.sumstats.gz,-0.324,0.151,-2.145,0.032,0.002,0.001,1.008,0.007,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140876146.ukbb.sumstats.gz,0.199,0.102,1.957,0.05,0.003,0.001,0.984,0.006,-0.008,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140879406.ukbb.sumstats.gz,0.398,0.09,4.432,9.35E-06,0.005,0.001,0.997,0.007,-0.006,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140879616.ukbb.sumstats.gz,0.274,0.069,3.946,7.95E-05,0.008,0.002,1.011,0.008,0,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140879628.ukbb.sumstats.gz,-0.014,0.154,-0.088,0.93,0.001,0.001,1,0.006,-0.004,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140879760.ukbb.sumstats.gz,0.82,0.104,7.894,2.93E-15,0.006,0.001,0.997,0.007,0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140879778.ukbb.sumstats.gz,0.359,0.077,4.664,3.10E-06,0.008,0.002,1.01,0.007,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140879802.ukbb.sumstats.gz,0.43,0.047,9.193,3.80E-20,0.022,0.002,1.012,0.007,0.009,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140881856.ukbb.sumstats.gz,0.154,0.084,1.829,0.067,0.007,0.002,1,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140882800.ukbb.sumstats.gz,0.101,0.159,0.634,0.526,0.001,0.001,0.996,0.007,-0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140883066.ukbb.sumstats.gz,0.31,0.072,4.316,1.59E-05,0.009,0.002,1.014,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140883504.ukbb.sumstats.gz,0.04,0.074,0.543,0.587,0.006,0.001,0.998,0.007,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140884444.ukbb.sumstats.gz,0.319,0.097,3.307,0.001,0.005,0.002,1,0.007,-0.008,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140884488.ukbb.sumstats.gz,0.159,0.063,2.52,0.012,0.007,0.002,0.995,0.007,-0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140884512.ukbb.sumstats.gz,0.27,0.334,0.81,0.418,0.001,0.001,0.996,0.006,-0.001,0.004
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140884516.ukbb.sumstats.gz,0.055,0.07,0.789,0.43,0.01,0.003,0.999,0.009,0.004,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140884600.ukbb.sumstats.gz,0.394,0.043,9.107,8.45E-20,0.03,0.002,1.029,0.01,0.005,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140888266.ukbb.sumstats.gz,0.27,0.087,3.114,0.002,0.005,0.001,1.001,0.007,-0.002,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140888552.ukbb.sumstats.gz,0.356,0.084,4.24,2.23E-05,0.006,0.001,1.004,0.007,0.003,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140888560.ukbb.sumstats.gz,0.526,0.092,5.71,1.13E-08,0.007,0.002,1.008,0.007,0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140888570.ukbb.sumstats.gz,-0.012,0.095,-0.13,0.896,0.003,0.001,0.99,0.006,-0.001,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140909708.ukbb.sumstats.gz,0.56,0.133,4.212,2.53E-05,0.003,0.001,1.015,0.007,0.007,0.005
cad.add.160614.website.txt.tab.sumstats.gz,20003_1140910766.ukbb.sumstats.gz,0.692,0.14,4.952,7.33E-07,0.004,0.001,1.011,0.007,0.01,0.005
